epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3083.53,1.16485,0.57177,0.00834,0.94993,0.87424,0.94787,0.71446,0.99791,0.47311,0.00548,0.0008516,0.0008516,0.0008516
60,3134.23,1.17438,0.57229,0.00876,0.9123,0.91086,0.94002,0.72103,0.95815,0.50099,0.0054,0.0008318,0.0008318,0.0008318
61,3184.83,1.14748,0.57906,0.00834,0.9582,0.85714,0.93956,0.73312,0.95151,0.5089,0.00516,0.000812,0.000812,0.000812
62,3235.79,1.15737,0.58626,0.00828,0.93911,0.85284,0.93942,0.73125,0.90738,0.52191,0.00514,0.0007922,0.0007922,0.0007922
63,3286.32,1.15251,0.56893,0.00827,0.97947,0.89401,0.9393,0.72555,0.95642,0.49638,0.00534,0.0007724,0.0007724,0.0007724
64,3337.27,1.16036,0.55929,0.00832,0.9771,0.87558,0.95142,0.7298,0.96089,0.48715,0.00541,0.0007526,0.0007526,0.0007526
65,3388.39,1.13781,0.55654,0.00829,0.97923,0.85714,0.94921,0.73506,0.92675,0.50876,0.00509,0.0007328,0.0007328,0.0007328
66,3439.5,1.1443,0.56718,0.00841,0.92014,0.88018,0.94334,0.73427,0.91446,0.51331,0.00498,0.000713,0.000713,0.000713
67,3490.06,1.12344,0.5463,0.00805,0.95414,0.87097,0.9433,0.74058,0.91337,0.47341,0.00497,0.0006932,0.0006932,0.0006932
68,3541.27,1.12836,0.5339,0.00782,0.95148,0.81328,0.9354,0.74104,0.90632,0.50298,0.00475,0.0006734,0.0006734,0.0006734
69,3592.66,1.10831,0.53493,0.00778,0.97904,0.86122,0.93936,0.7484,0.88513,0.49378,0.00471,0.0006536,0.0006536,0.0006536
70,3644.47,1.10883,0.53532,0.00787,0.93341,0.90428,0.93901,0.74681,0.8963,0.52913,0.00457,0.0006338,0.0006338,0.0006338
71,3695.48,1.10977,0.52288,0.00786,0.97392,0.8604,0.9496,0.74422,0.90717,0.49436,0.00482,0.000614,0.000614,0.000614
72,3746.52,1.1089,0.52238,0.00782,0.94988,0.87336,0.94787,0.74675,0.89655,0.46802,0.00468,0.0005942,0.0005942,0.0005942
73,3797.22,1.08724,0.52005,0.00782,0.9724,0.88018,0.94841,0.75312,0.89701,0.47166,0.00456,0.0005744,0.0005744,0.0005744
74,3848.06,1.08415,0.50183,0.0077,0.95073,0.89401,0.94528,0.74652,0.8784,0.49299,0.00458,0.0005546,0.0005546,0.0005546
75,3900.18,1.09484,0.51899,0.00757,0.96762,0.87558,0.9451,0.75902,0.85297,0.4593,0.00447,0.0005348,0.0005348,0.0005348
76,3951.31,1.075,0.51405,0.00762,0.95856,0.87558,0.94669,0.7511,0.86849,0.51758,0.00455,0.000515,0.000515,0.000515
77,4002.91,1.07344,0.50004,0.00765,0.96514,0.89298,0.94833,0.75516,0.86399,0.49301,0.00446,0.0004952,0.0004952,0.0004952
78,4053.82,1.07851,0.51326,0.00736,0.98377,0.85714,0.94769,0.75258,0.8762,0.4855,0.00454,0.0004754,0.0004754,0.0004754
79,4104.45,1.07319,0.50923,0.00768,0.97912,0.8644,0.94375,0.75272,0.87282,0.50033,0.00441,0.0004556,0.0004556,0.0004556
80,4155.63,1.06069,0.49571,0.00764,0.9593,0.86887,0.93484,0.74379,0.88387,0.4842,0.00469,0.0004358,0.0004358,0.0004358
81,4206.56,1.06431,0.49924,0.00756,0.96175,0.88479,0.94075,0.75266,0.87871,0.48888,0.00455,0.000416,0.000416,0.000416
82,4257.44,1.059,0.5021,0.00723,0.95585,0.89786,0.95075,0.75172,0.89262,0.43613,0.00459,0.0003962,0.0003962,0.0003962
83,4308.34,1.04696,0.484,0.00742,0.97955,0.88296,0.94236,0.75895,0.87616,0.4502,0.00446,0.0003764,0.0003764,0.0003764
84,4359.15,1.0442,0.48054,0.00738,0.94769,0.91834,0.94637,0.76658,0.86471,0.45392,0.00446,0.0003566,0.0003566,0.0003566
85,4410.35,1.03926,0.47462,0.00703,0.96011,0.88733,0.94018,0.74887,0.87404,0.45537,0.00444,0.0003368,0.0003368,0.0003368
86,4461.53,1.05353,0.48874,0.00738,0.95116,0.89753,0.94565,0.76238,0.87399,0.44244,0.00442,0.000317,0.000317,0.000317
87,4513.58,1.04104,0.47828,0.00741,0.96709,0.8894,0.94509,0.75897,0.86479,0.44934,0.00447,0.0002972,0.0002972,0.0002972
88,4573.01,1.02625,0.46231,0.00729,0.96732,0.88479,0.93879,0.7537,0.87313,0.46578,0.00449,0.0002774,0.0002774,0.0002774
89,4632.05,1.02449,0.46821,0.00729,0.96958,0.88128,0.94053,0.76102,0.84822,0.45628,0.00436,0.0002576,0.0002576,0.0002576
90,4690.71,1.01447,0.4694,0.00706,0.95552,0.891,0.94136,0.75935,0.86078,0.45977,0.00437,0.0002378,0.0002378,0.0002378
91,4778.29,0.88885,0.31795,0.00724,0.94705,0.90657,0.93926,0.76027,0.848,0.45295,0.00435,0.000218,0.000218,0.000218
92,4838.65,0.86838,0.30629,0.00697,0.95209,0.89862,0.94685,0.76621,0.8471,0.44996,0.00434,0.0001982,0.0001982,0.0001982
93,4898.52,0.86677,0.3019,0.00695,0.98937,0.85821,0.94504,0.76159,0.84995,0.46402,0.00431,0.0001784,0.0001784,0.0001784
94,4957.85,0.84657,0.29752,0.00679,0.9671,0.89401,0.94628,0.76713,0.85193,0.41566,0.0043,0.0001586,0.0001586,0.0001586
95,5017.62,0.83978,0.29031,0.00668,0.97,0.8939,0.94803,0.76339,0.84541,0.4456,0.00435,0.0001388,0.0001388,0.0001388
96,5079.21,0.84442,0.2818,0.00664,0.9707,0.89401,0.95267,0.76958,0.83971,0.43942,0.00426,0.000119,0.000119,0.000119
97,5139.91,0.84313,0.28974,0.00658,0.98944,0.86376,0.94678,0.76828,0.83854,0.44146,0.00426,9.92e-05,9.92e-05,9.92e-05
98,5200.73,0.82563,0.27609,0.00653,0.97522,0.88018,0.95023,0.77338,0.82663,0.43779,0.00422,7.94e-05,7.94e-05,7.94e-05
99,5262.51,0.82942,0.27962,0.00642,0.98443,0.8741,0.94841,0.77014,0.84257,0.44232,0.00428,5.96e-05,5.96e-05,5.96e-05
100,5322.22,0.82337,0.26984,0.00639,0.98445,0.8752,0.94541,0.76612,0.83803,0.43955,0.00423,3.98e-05,3.98e-05,3.98e-05
