epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,362.88,1.61751,1.11929,0.02197,0.82328,0.89474,0.90645,0.5734,1.51908,0.83865,0.02199,0.0008714,0.0008714,0.0008714
59,368.716,1.66937,1.13989,0.02357,0.94285,0.86903,0.93722,0.62351,1.36576,0.72954,0.02098,0.0008516,0.0008516,0.0008516
60,374.713,1.69006,1.04739,0.02646,0.83039,0.77369,0.85368,0.50067,1.60096,0.96347,0.02576,0.0008318,0.0008318,0.0008318
61,380.621,1.65492,1.15211,0.02257,0.92623,0.66178,0.86456,0.53566,1.64614,0.81391,0.02605,0.000812,0.000812,0.000812
62,386.677,1.5954,1.07664,0.02244,0.99927,0.73684,0.9015,0.57578,1.42471,1.01432,0.02029,0.0007922,0.0007922,0.0007922
63,392.656,1.67512,1.06435,0.02314,0.8858,0.94737,0.92265,0.61147,1.33948,0.7466,0.02144,0.0007724,0.0007724,0.0007724
64,398.6,1.61691,1.109,0.02181,0.79436,0.78947,0.86868,0.59005,1.31516,0.84691,0.02045,0.0007526,0.0007526,0.0007526
65,404.282,1.54358,1.04658,0.0206,0.89142,0.89474,0.93997,0.60269,1.43972,0.74531,0.02165,0.0007328,0.0007328,0.0007328
66,410.13,1.58936,1.03056,0.0204,0.85994,0.89474,0.90789,0.5502,1.62071,0.68296,0.02471,0.000713,0.000713,0.000713
67,416.056,1.63064,1.06495,0.02394,0.7777,0.84211,0.89462,0.56826,1.39888,0.8383,0.023,0.0006932,0.0006932,0.0006932
68,421.806,1.55318,1.07017,0.02218,0.7492,0.94737,0.88455,0.57831,1.30617,0.89643,0.02086,0.0006734,0.0006734,0.0006734
69,427.717,1.50678,0.96263,0.0215,0.80314,0.94737,0.89124,0.57469,1.27566,0.80658,0.02095,0.0006536,0.0006536,0.0006536
70,433.696,1.51463,0.9301,0.02056,0.91714,0.84211,0.91189,0.57631,1.38451,0.86804,0.02216,0.0006338,0.0006338,0.0006338
71,439.442,1.55398,0.91941,0.02258,0.94626,0.92745,0.92289,0.58681,1.40342,0.77204,0.02171,0.000614,0.000614,0.000614
72,445.372,1.53781,0.97563,0.02129,0.98451,0.78947,0.92255,0.61455,1.40661,0.7154,0.0216,0.0005942,0.0005942,0.0005942
73,451.249,1.42097,0.94946,0.02013,0.9364,0.78947,0.90286,0.6492,1.21455,0.83365,0.0178,0.0005744,0.0005744,0.0005744
74,457.072,1.48025,0.95832,0.0215,0.89112,0.8622,0.91651,0.58726,1.4122,0.82446,0.02071,0.0005546,0.0005546,0.0005546
75,463.126,1.50445,0.96242,0.02103,0.84404,0.89474,0.89082,0.5608,1.47679,0.81752,0.02368,0.0005348,0.0005348,0.0005348
76,469.073,1.44423,0.92557,0.01979,0.87631,0.94737,0.92275,0.59608,1.41431,0.74983,0.02221,0.000515,0.000515,0.000515
77,475.159,1.46481,0.98524,0.02029,0.93735,0.89474,0.92489,0.63473,1.32021,0.70024,0.02071,0.0004952,0.0004952,0.0004952
78,480.927,1.47071,0.99561,0.01979,0.94499,0.89474,0.94,0.58798,1.55551,0.72643,0.02493,0.0004754,0.0004754,0.0004754
79,486.893,1.49484,0.93358,0.02206,0.907,0.89474,0.93722,0.54377,1.57451,0.71898,0.02394,0.0004556,0.0004556,0.0004556
80,492.962,1.44556,0.93247,0.01865,1,0.92881,0.945,0.64917,1.22701,0.82542,0.01863,0.0004358,0.0004358,0.0004358
81,498.867,1.53615,0.97044,0.02235,0.94654,0.93251,0.93658,0.63843,1.27894,0.84647,0.02009,0.000416,0.000416,0.000416
82,504.855,1.4626,0.92564,0.01891,0.8827,0.84211,0.91703,0.61241,1.33576,0.80336,0.02197,0.0003962,0.0003962,0.0003962
83,510.895,1.42867,0.92193,0.01969,0.77934,0.92998,0.91238,0.62353,1.29491,0.79358,0.01962,0.0003764,0.0003764,0.0003764
84,516.761,1.49264,0.94412,0.01865,0.82841,0.94737,0.90937,0.59026,1.35309,0.72248,0.0196,0.0003566,0.0003566,0.0003566
85,522.555,1.39295,0.84425,0.01852,0.882,0.89474,0.91573,0.60752,1.25305,0.6599,0.01804,0.0003368,0.0003368,0.0003368
86,528.517,1.42369,0.84555,0.01816,0.85089,0.90132,0.93259,0.61171,1.36868,0.64786,0.02112,0.000317,0.000317,0.000317
87,534.341,1.4532,0.86406,0.02065,0.85057,0.89893,0.93175,0.61591,1.38986,0.67607,0.02177,0.0002972,0.0002972,0.0002972
88,540.249,1.39383,0.87495,0.02094,0.9388,0.89474,0.92833,0.58716,1.43855,0.68101,0.0225,0.0002774,0.0002774,0.0002774
89,546.019,1.37702,0.9342,0.01833,0.93727,0.94737,0.93974,0.65115,1.36811,0.59803,0.02099,0.0002576,0.0002576,0.0002576
90,551.979,1.40203,0.87305,0.01954,0.93274,0.94737,0.93974,0.61576,1.37253,0.70966,0.02039,0.0002378,0.0002378,0.0002378
91,578.335,1.17993,0.7238,0.02017,0.89542,0.94737,0.92559,0.61015,1.45898,0.69713,0.02304,0.000218,0.000218,0.000218
92,584.26,1.14426,0.6568,0.01863,0.94221,0.8588,0.92972,0.62481,1.23676,0.78919,0.02004,0.0001982,0.0001982,0.0001982
93,589.803,1.15454,0.69469,0.01874,0.88864,0.89474,0.92489,0.6293,1.22499,0.76097,0.01809,0.0001784,0.0001784,0.0001784
94,595.617,1.12934,0.69801,0.01781,0.92534,0.89474,0.93313,0.61961,1.22246,0.75141,0.01772,0.0001586,0.0001586,0.0001586
95,601.897,1.0694,0.66852,0.01678,1,0.88194,0.93413,0.66002,1.22916,0.72514,0.01763,0.0001388,0.0001388,0.0001388
96,607.569,1.13985,0.65532,0.01895,0.98636,0.84211,0.93508,0.65623,1.24846,0.69429,0.01803,0.000119,0.000119,0.000119
97,613.352,1.06779,0.60395,0.01626,0.98734,0.84211,0.93313,0.64033,1.24121,0.69959,0.01786,9.92e-05,9.92e-05,9.92e-05
98,619.177,1.09964,0.66841,0.01663,1,0.86821,0.93591,0.64137,1.2231,0.69586,0.0173,7.94e-05,7.94e-05,7.94e-05
99,624.918,1.066,0.62568,0.01714,1,0.84076,0.93413,0.64557,1.22241,0.70012,0.01753,5.96e-05,5.96e-05,5.96e-05
100,630.631,1.04629,0.64508,0.01691,1,0.89114,0.93786,0.655,1.22984,0.68639,0.01773,3.98e-05,3.98e-05,3.98e-05
